t,imu_roll,imu_pitch,pid_roll,pid_pitch
1779027062.3858,0.000507,0.002799,-0.000101,-0.000560
1779027062.3927,0.000442,0.002697,0.000148,-0.000166
1779027062.4005,0.000370,0.002588,0.000156,-0.000174
1779027062.4073,0.000294,0.002486,0.000224,-0.000120
1779027062.4274,0.000217,0.002395,0.000051,-0.000368
1779027062.4344,0.000141,0.002317,0.000243,-0.000186
1779027062.4418,0.000070,0.002252,0.000228,-0.000235
1779027062.4483,0.000004,0.002201,0.000254,-0.000249
1779027062.4565,-0.000056,0.002165,0.000191,-0.000327
1779027062.4626,-0.000106,0.002144,0.000227,-0.000349
1779027062.4691,-0.000147,0.002139,0.000186,-0.000413
1779027062.4761,-0.000177,0.002150,0.000142,-0.000473
1779027062.4830,-0.000194,0.002175,0.000101,-0.000535
1779027062.4900,-0.000197,0.002216,0.000051,-0.000597
1779027062.4969,-0.000164,0.002239,-0.000087,-0.000535
1779027062.5039,-0.000158,0.002313,0.000010,-0.000737
1779027062.5108,-0.000143,0.002395,-0.000026,-0.000783
1779027062.5178,-0.000115,0.002492,-0.000078,-0.000855
1779027062.5247,-0.000072,0.002605,-0.000141,-0.000936
1779027062.5317,-0.000012,0.002735,-0.000213,-0.001023
1779027062.5387,0.000066,0.002882,-0.000292,-0.001114
1779027062.5456,0.000162,0.003046,-0.000380,-0.001211
1779027062.5525,0.000277,0.003227,-0.000471,-0.001307
1779027062.5669,0.000412,0.003426,-0.000318,-0.001042
1779027062.5734,0.000567,0.003641,-0.000708,-0.001564
1779027062.5805,0.000743,0.003873,-0.000769,-0.001608
1779027062.5873,0.000949,0.004105,-0.000946,-0.001684
1779027062.5943,0.001174,0.004354,-0.001043,-0.001781
1779027062.6012,0.001417,0.004622,-0.001161,-0.001906
1779027062.6082,0.001680,0.004911,-0.001283,-0.002036
1779027062.6151,0.002011,0.005300,-0.001592,-0.002476
1779027062.6221,0.002385,0.005738,-0.001824,-0.002740
1779027062.6290,0.002805,0.006227,-0.002077,-0.003026
1779027062.6360,0.003274,0.006769,-0.002343,-0.003321
1779027062.6429,0.003793,0.007363,-0.002625,-0.003626
1779027062.6499,0.004366,0.008011,-0.002926,-0.003943
1779027062.6568,0.004993,0.008720,-0.003274,-0.004335
1779027062.6644,0.005672,0.009492,-0.003387,-0.004476
1779027062.6712,0.006403,0.010329,-0.003987,-0.005185
1779027062.6781,0.007185,0.011234,-0.004266,-0.005541
