t,imu_roll,imu_pitch,pid_roll,pid_pitch
1780018817.6653,0.000087,0.003928,-0.000017,-0.000786
1780018817.6807,0.000078,0.003927,-0.000001,-0.000786
1780018817.6966,0.000057,0.003869,0.000022,-0.000686
1780018817.7123,-0.000064,0.003911,0.000206,-0.000854
1780018817.7282,-0.000170,0.003878,0.000199,-0.000729
1780018817.7443,-0.000263,0.003820,0.000199,-0.000682
1780018817.7601,-0.000347,0.003756,0.000202,-0.000659
1780018817.7757,-0.000422,0.003691,0.000204,-0.000647
1780018817.7880,-0.000487,0.003631,0.000231,-0.000615
1780018817.7947,-0.000544,0.003576,0.000323,-0.000520
1780018817.8016,-0.000591,0.003527,0.000289,-0.000545
1780018817.8081,-0.000629,0.003487,0.000274,-0.000554
1780018817.8151,-0.000658,0.003455,0.000236,-0.000591
1780018817.8220,-0.000677,0.003432,0.000206,-0.000621
1780018817.8290,-0.000687,0.003420,0.000172,-0.000656
1780018817.8361,-0.000686,0.003419,0.000136,-0.000695
1780018817.8429,-0.000674,0.003429,0.000095,-0.000739
1780018817.8498,-0.000652,0.003450,0.000053,-0.000785
1780018817.8568,-0.000619,0.003484,0.000007,-0.000835
1780018817.8637,-0.000575,0.003529,-0.000044,-0.000889
1780018817.8776,-0.000518,0.003588,0.000004,-0.000843
1780018817.8846,-0.000449,0.003660,-0.000155,-0.001012
1780018817.8915,-0.000368,0.003746,-0.000216,-0.001079
1780018817.8985,-0.000274,0.003846,-0.000283,-0.001153
1780018817.9054,-0.000166,0.003961,-0.000350,-0.001226
1780018817.9124,-0.000045,0.004090,-0.000424,-0.001307
1780018817.9193,0.000090,0.004235,-0.000503,-0.001392
1780018817.9333,0.000239,0.004395,-0.000313,-0.001191
1780018817.9402,0.000404,0.004571,-0.000679,-0.001581
1780018817.9471,0.000585,0.004764,-0.000764,-0.001672
1780018817.9541,0.000804,0.005008,-0.000949,-0.001909
1780018817.9613,0.001055,0.005285,-0.001081,-0.002049
1780018817.9680,0.001340,0.005602,-0.001327,-0.002331
1780018817.9749,0.001674,0.005947,-0.001537,-0.002461
1780018817.9819,0.002050,0.006340,-0.001762,-0.002715
1780018817.9889,0.002469,0.006781,-0.001996,-0.002970
1780018817.9958,0.002933,0.007272,-0.002249,-0.003247
1780018818.0028,0.003445,0.007814,-0.002535,-0.003555
1780018818.0097,0.004003,0.008413,-0.002816,-0.003882
1780018818.0175,0.004611,0.009071,-0.002873,-0.003960
1780018818.0240,0.005269,0.009790,-0.003608,-0.004787
1780018818.0306,0.005893,0.010305,-0.003544,-0.004054
1780018818.0375,0.006460,0.010618,-0.003335,-0.003293
1780018818.0445,0.006957,0.010735,-0.003188,-0.002612
1780018818.0514,0.007372,0.010658,-0.002974,-0.001903
1780018818.0584,0.007795,0.010514,-0.003089,-0.001636
1780018818.0653,0.008219,0.010334,-0.003179,-0.001469
1780018818.0723,0.008641,0.010125,-0.003258,-0.001326
1780018818.0792,0.009057,0.009890,-0.003323,-0.001188
1780018818.0862,0.009463,0.009632,-0.003367,-0.001055
1780018818.0931,0.009856,0.009350,-0.003397,-0.000919
1780018818.1004,0.010233,0.009046,-0.003366,-0.000819
1780018818.1070,0.010589,0.008721,-0.003480,-0.000582
1780018818.1140,0.010922,0.008375,-0.003404,-0.000493
1780018818.1212,0.011227,0.008009,-0.003334,-0.000392
1780018818.1279,0.011502,0.007624,-0.003348,-0.000159
1780018818.1348,0.011741,0.007221,-0.003239,-0.000061
1780018818.1418,0.011942,0.006800,-0.003141,0.000084
1780018818.1487,0.012101,0.006362,-0.003023,0.000236
1780018818.1559,0.012213,0.005908,-0.002867,0.000332
1780018818.1626,0.012274,0.005438,-0.002720,0.000586
1780018818.1696,0.012281,0.004951,-0.002520,0.000689
1780018818.1765,0.012229,0.004449,-0.002302,0.000841
1780018818.1835,0.012115,0.003932,-0.002056,0.001002
